id,published_date,title,isbn,price
2,4/6/2011 0:00,Magical X Miracle 06,2147483647,20000
3,4/6/2011 0:00,Golden Age 14,2147483647,20000
4,4/6/2011 0:00,Shanaou Yoshitsune Genpei War 11,2147483647,20000
6,4/6/2011 0:00,Out Code 01,2147483647,20000
7,4/6/2011 0:00,My Life 01,2147483647,20000
9,4/6/2011 0:00,Garudayana 03,2147483647,20000
12,4/13/2011 0:00,Sugar Family 06 (END),9.78602E+12,20000
13,4/13/2011 0:00,Gunslinger Girls 12,9.78602E+12,20000
20,4/20/2011 0:00,Jun X Sensation 04,9.78602E+12,20000
21,4/20/2011 0:00,My Sweet Kaicho 11,9.78602E+12,20000
22,4/20/2011 0:00,Beauty Pop 09,2147483647,20000
23,4/20/2011 0:00,Kiss and Harmony,9.78602E+12,20000
24,4/20/2011 23:36,Love Love Nurse,9.78602E+12,20000
25,4/20/2011 23:37,The Ring of God,9.78602E+12,20000
26,4/20/2011 23:39,"Yowamushi Pedal,Go! 10",9.78602E+12,20000
29,4/20/2011 23:43,Garudaboi 03,2147483647,20000
30,4/27/2011 0:00,Sky Blue Beach 04,2147483647,20000
31,4/27/2011 0:00,Golden Age 14 (END),2147483647,20000
32,4/27/2011 0:00,My kingdom 02,2147483647,20000
33,4/27/2011 0:00,Love So Life 03,34506123011,20000
41,4/27/2011 0:00,Monika 140,9.78602E+12,20000
42,4/27/2011 0:00,Hantu,0,20000
43,4/27/2011 0:00,Intan Permata Rimba 03,9.78602E+12,20000
44,4/27/2011 0:00,KOLONI JAGOAN : Gunnhildr,0,20000
233,7/7/2010 0:00,WELCOME TO LOVERS CAFE MARINA,9.78979E+12,20000
46,1/5/2011 0:00,Aoizaka Baseball Club 17,2147483647,20000
47,1/5/2011 0:00,Magical X Miracle 2,0,20000
50,1/12/2011 0:00,Shanaou Yoshitsune Genpei War 9,0,20000
55,1/19/2011 0:00,Bitter Trap,0,20000
56,1/19/2011 0:00,One Sided Love,0,20000
57,1/19/2011 0:00,Powerful Cheers!!!,0,20000
58,1/19/2011 0:00,Diamond Beat,0,20000
59,1/19/2011 0:00,"I Love You, Sensei!",0,20000
60,1/19/2011 0:00,Love Button 01,2147483647,20000
61,1/19/2011 0:00,Lonely Without You 01,9.78602E+12,20000
62,1/19/2011 0:00,Lonely Without You 02,9.78602E+12,20000
63,1/19/2011 0:00,Lonely Without You 03,9.78979E+12,20000
64,1/19/2011 0:00,Namida Usagi - Tears of First Love 01,9.78602E+12,20000
65,1/19/2011 0:00,Bleach 36,9.78979E+12,20000
67,1/26/2011 0:00,Takoyaki Princess,0,20000
68,1/26/2011 0:00,Princess Gal Paradise 01,9.78602E+12,20000
69,1/26/2011 0:00,Cinta Sang Fashionista,0,20000
70,1/26/2011 0:00,Ijime : No need to Cry,0,20000
71,1/26/2011 0:00,Ijime: Undefeated Guts,0,20000
73,1/26/2011 0:00,Be Boys,0,20000
74,1/26/2011 0:00,See You,0,20000
75,1/26/2011 0:00,Renee Sang Penyihir-Somme de Chat,0,20000
76,1/26/2011 0:00,The Butterfly Ink,0,20000
77,1/26/2011 0:00,My Premium Girl,0,20000
78,2/2/2011 0:00,Love CafÃƒÂ©,0,20000
79,2/2/2011 0:00,Paradise CafÃƒÂ©,0,20000
80,2/2/2011 0:00,Love in the Sky 0 1,2147483647,20000
81,2/2/2011 0:00,Flowers of Love,0,20000
82,2/2/2011 0:00,Prince X Princess 01,2147483647,20000
83,2/2/2011 0:00,Together With You,0,20000
84,2/2/2011 0:00,Boy Meets Girl,0,20000
85,2/2/2011 0:00,Smille Himiko 01,9.78979E+12,20000
86,2/2/2011 0:00,Smille Himiko 02,9.78602E+12,20000
87,2/2/2011 0:00,Smille Himiko 03 (END),9.78979E+12,20000
88,2/2/2011 0:00,The Cute One Beside Me,0,20000
89,2/2/2011 0:00,Glasses Boy&#039;s Lovers,0,20000
90,2/2/2011 0:00,Love Deco,0,20000
91,2/2/2011 0:00,"First Love, Freckless and You",0,20000
92,2/2/2011 0:00,The Ghost Conqueror 05,9.78602E+12,20000
93,2/2/2011 0:00,Go Hiromi Go 07,9.78602E+12,20000
94,2/2/2011 0:00,Saint Beast,0,20000
95,2/2/2011 0:00,.Hack//G.U.+  05 (END),9.78602E+12,20000
96,4/24/2011 15:03,Rival Next Door 01,9.78602E+12,20000
97,2/2/2011 0:00,Doctor&#039;s Naughty Kiss,0,20000
98,2/9/2011 0:00,Cute Cute Cute # 1,0,20000
99,2/9/2011 0:00,Cute Cute Cute # 2 (END),0,20000
100,2/9/2011 0:00,Cherry  is Everywhere # 1,0,20000
101,2/9/2011 0:00,Bus Guide Story,0,20000
102,2/9/2011 0:00,Buttterfly Boy,0,20000
103,2/9/2011 0:00,Love After School,0,20000
104,2/9/2011 0:00,Secret Scandal,0,20000
105,2/9/2011 0:00,Kiss and Regret,0,20000
106,2/9/2011 0:00,Time to Say Goodbye,9.78979E+12,20000
107,2/9/2011 0:00,Kiss Me After School!,0,20000
108,2/9/2011 0:00,First love Stories,0,20000
109,2/9/2011 0:00,August December,0,20000
110,2/9/2011 0:00,A Bad Boy Drinks Tea #11 (END),0,20000
111,2/9/2011 0:00,Kirarin Revolution # 14 (END),0,20000
116,3/16/2011 0:00,Unlucky Girl,0,20000
117,2/16/2011 0:00,Lovely Make-Up - Myon & Fuku Chan&#039;s Beauty Learning #1,0,20000
119,2/16/2011 0:00,My Sweet Home #3,0,20000
121,2/23/2011 0:00,Oresama Teacher #4,0,20000
123,2/23/2011 0:00,Momokan #7,0,20000
124,2/23/2011 0:00,My Sweet Kaicho #9,0,20000
125,2/23/2011 0:00,Together in Love # 1,0,20000
126,2/23/2011 0:00,Shanaou Yoshitsune Genpei War #10,0,20000
127,2/23/2011 0:00,Lovely Make-Up - Myon & Fuku Chan&#039;s Beauty Learning #2 (END),0,20000
128,2/23/2011 0:00,Bleach #37,0,20000
