id,published_date,title,isbn,price
4,2011-04-06 00:00:00,Shanaou Yoshitsune Genpei War 11,2147483647,13000
6,2011-04-06 00:00:00,Out Code 01,2147483647,14500
7,2011-04-06 00:00:00,My Life 01,2147483647,16500
9,2011-04-06 00:00:00,Garudayana 03,2147483647,16500
12,2011-04-13 00:00:00,Sugar Family 06 (END),9786022102427,16500
13,2011-04-13 00:00:00,Gunslinger Girls 12,9786022101185,16500
20,2011-04-20 00:00:00,Jun X Sensation 04,9786022104742,16500
21,2011-04-20 00:00:00,My Sweet Kaicho 11,9786022101185,16500
22,2011-04-20 00:00:00,Beauty Pop 09,2147483647,16500
23,2011-04-20 00:00:00,Kiss and Harmony,9786022104742,16500
24,2011-04-20 23:36:00,Love Love Nurse,9786022101185,16500
25,2011-04-20 23:37:00,The Ring of God,9786022101185,16500
26,2011-04-20 23:39:00,"Yowamushi Pedal,Go! 10",9786022100386,16500
29,2011-04-20 23:43:00,Garudaboi 03,2147483647,16500
30,2011-04-27 00:00:00,Sky Blue Beach 04,2147483647,16500
31,2011-04-27 00:00:00,Golden Age 14 (END),2147483647,16500
32,2011-04-27 00:00:00,My kingdom 02,2147483647,16500
33,2011-04-27 00:00:00,Love So Life 03,34506123011,16500
41,2011-04-27 00:00:00,Monika 140,9786022101185,16500
42,2011-04-27 00:00:00,Hantu,0,16500
43,2011-04-27 00:00:00,Intan Permata Rimba 03,9786022101185,16500
44,2011-04-27 00:00:00,KOLONI JAGOAN : Gunnhildr,0,16500
233,2010-07-07 00:00:00,WELCOME TO LOVERS CAFE MARINA,9789792342284,16500
46,2011-01-05 00:00:00,Aoizaka Baseball Club 17,2147483647,16500
47,2011-01-05 00:00:00,Magical X Miracle 2,0,16500
50,2011-01-12 00:00:00,Shanaou Yoshitsune Genpei War 9,0,16500
55,2011-01-19 00:00:00,Bitter Trap,0,16500
56,2011-01-19 00:00:00,One Sided Love,0,16500
57,2011-01-19 00:00:00,Powerful Cheers!!!,0,16500
58,2011-01-19 00:00:00,Diamond Beat,0,16500
59,2011-01-19 00:00:00,"I Love You, Sensei!",0,16500
60,2011-01-19 00:00:00,Love Button 01,2147483647,16500
61,2011-01-19 00:00:00,Lonely Without You 01,9786022100386,16500
62,2011-01-19 00:00:00,Lonely Without You 02,9786022101185,16500
63,2011-01-19 00:00:00,Lonely Without You 03,9789792314858,16500
64,2011-01-19 00:00:00,Namida Usagi - Tears of First Love 01,9786022101185,16500
65,2011-01-19 00:00:00,Bleach 36,9789792314858,16500
67,2011-01-26 00:00:00,Takoyaki Princess,0,16500
68,2011-01-26 00:00:00,Princess Gal Paradise 01,9786022101185,16500
69,2011-01-26 00:00:00,Cinta Sang Fashionista,0,16500
73,2011-01-26 00:00:00,Be Boys,0,16500
74,2011-01-26 00:00:00,See You,0,16500
75,2011-01-26 00:00:00,Renee Sang Penyihir-Somme de Chat,0,16500
76,2011-01-26 00:00:00,The Butterfly Ink,0,16500
77,2011-01-26 00:00:00,My Premium Girl,0,16500
78,2011-02-02 00:00:00,Love CafÃƒÂ©,0,16500
79,2011-02-02 00:00:00,Paradise CafÃƒÂ©,0,16500
80,2011-02-02 00:00:00,Love in the Sky 0 1,2147483647,16500
81,2011-02-02 00:00:00,Flowers of Love,0,16500
82,2011-02-02 00:00:00,Prince X Princess 01,2147483647,16500
83,2011-02-02 00:00:00,Together With You,0,16500
84,2011-02-02 00:00:00,Boy Meets Girl,0,16500
85,2011-02-02 00:00:00,Smille Himiko 01,9789792314858,16500
86,2011-02-02 00:00:00,Smille Himiko 02,9786022101185,16500
87,2011-02-02 00:00:00,Smille Himiko 03 (END),9789792314858,16500
88,2011-02-02 00:00:00,The Cute One Beside Me,0,16500
89,2011-02-02 00:00:00,Glasses Boy&#039;s Lovers,0,16500
90,2011-02-02 00:00:00,Love Deco,0,16500
91,2011-02-02 00:00:00,"First Love, Freckless and You",0,16500
92,2011-02-02 00:00:00,The Ghost Conqueror 05,9786022102076,16500
93,2011-02-02 00:00:00,Go Hiromi Go 07,9786022102076,16500
94,2011-02-02 00:00:00,Saint Beast,0,16500
95,2011-02-02 00:00:00,.Hack//G.U.+  05 (END),9786022100386,16500
96,2011-04-24 15:03:00,Rival Next Door 01,9786022102076,16500
97,2011-02-02 00:00:00,Doctor&#039;s Naughty Kiss,0,16500
98,2011-02-09 00:00:00,Cute Cute Cute # 1,0,16500
99,2011-02-09 00:00:00,Cute Cute Cute # 2 (END),0,16500
100,2011-02-09 00:00:00,Cherry  is Everywhere # 1,0,16500
101,2011-02-09 00:00:00,Bus Guide Story,0,16500
102,2011-02-09 00:00:00,Buttterfly Boy,0,16500
103,2011-02-09 00:00:00,Love After School,0,16500
104,2011-02-09 00:00:00,Secret Scandal,0,16500
105,2011-02-09 00:00:00,Kiss and Regret,0,16500
106,2011-02-09 00:00:00,Time to Say Goodbye,9789792314858,16500
107,2011-02-09 00:00:00,Kiss Me After School!,0,16500
108,2011-02-09 00:00:00,First love Stories,0,16500
109,2011-02-09 00:00:00,August December,0,16500
110,2011-02-09 00:00:00,A Bad Boy Drinks Tea #11 (END),0,16500
116,2011-03-16 00:00:00,Unlucky Girl,0,16500
117,2011-02-16 00:00:00,Lovely Make-Up - Myon & Fuku Chan&#039;s Beauty Learning #1,0,16500
121,2011-02-23 00:00:00,Oresama Teacher #4,0,16500
123,2011-02-23 00:00:00,Momokan #7,0,16500
124,2011-02-23 00:00:00,My Sweet Kaicho #9,0,16500
125,2011-02-23 00:00:00,Together in Love # 1,0,16500
126,2011-02-23 00:00:00,Shanaou Yoshitsune Genpei War #10,0,16500
127,2011-02-23 00:00:00,Lovely Make-Up - Myon & Fuku Chan&#039;s Beauty Learning #2 (END),0,16500
