id,id_media_type,published_date,title,url,link_download,link_full_version,author,isbn,price,rate,jenis_rate,origin,size,page,tags,summary,status,image,image_preview_1,image_preview_2,image_preview_3,image_preview_4,image_preview_5
2740,1,9/23/2015 0:00,To Be Continued Tomorrow 04 - tamat,http://www.gramedia.com,,,KITA KONNO,9.79E+12,27000,4,R,Jepang,13 x 18,200,"drama,slice of life,brotherhood","Haruka dan Saya Fujisawa yang dibesarkan oleh orangtua tunggal tumbuh besar dan sehat di bawah pengawasan sang ayah dan bibi mereka, Rikako. Tepat 1 tahun setelah keluarga Harada pindah ke rumah sebelah, musim bunga daphne datang kembali, sama seperti “hari itu”. Inilah volume terakhir kisah yang menghangatkan hati mengenai keseharian Haruka dan Saya!",,2740_image.jpg,,,,,
2739,1,9/16/2015 0:00,Today's Curry,http://www.gramedia.com,,,YAE SHIMANO,9.79E+12,20000,4,R,Jepang,"11,4 x 16,8",184,"drama,slice of life,curry,food","Ini kisah “kare sehari-hari” yang terjadi di Pulau Benten yang agak ajaib. 
Kare, menu yang akrab dengan semua orang Jepang, dan kisah-kisah yang menceritakan tentang penduduk pulau. 
Dari sanalah tercium aroma kebahagiaan lezat yang lembut dan hangat dari kedai kare milik Urara dan ayahnya. Dibantu oleh dua orang siswi SMA, mereka berkeliling menjual kare naik mobil di Pulau Benten!

",,2739_image.jpg,,,,,
2738,1,9/16/2015 0:00,The Forbidden Song,http://www.gramedia.com,,,CHIKAKO MORI,9.79E+12,20000,4,R,Jepang,"11,2 x 17,6",192,"drama,mystery,fantasy","“Jangan nyanyikan lagu itu. Begitu kau selesai bersenandung, pintu masuk neraka akan terbuka…”

Nanao yang bertengkar dengan ibunya kebetulan menemukan lagu pengantar tidur kuno di toko buku antik. Sejak ia menyenandungkan lagu tersebut, kejadian mengerikan bertubi-tubi menimpa Nao… Sosok siapa yang muncul saat gadis itu mulai terpojok?

Hati-hati…
Sebuah lagu bisa menjadi mimpi burukmu…
Kumpulan kisah pendek di buku ini akan membuktikannya!

CONTENTS
• The Forbidden Song
• Opera
• Cursed Song
• Cursed Song ~Everlasting Flower~
• A Servant for Kanna
• Essence From a Fairy
",,2738_image.jpg,,,,,
2737,1,9/16/2015 0:00,Sunny Orange by Cherry,http://www.gramedia.com,,,M&C,9.79E+12,33000,4,R,Jepang,"11,2 x 17,6",208,"shoujo,romance,magazine",,,2737_image.jpg,,,,,
2736,1,9/16/2015 0:00,Last Game 06,http://www.gramedia.com,,,SHINOBU AMANO,9.79E+12,20000,5,R,Jepang,"11,2 x 17,6",192,"drama,romance,shoujo","Perasaan siapakah yang akan meluap terlebih dulu? 
“Kalau Yanagi yang melakukannya, aku nggak keberatan.”
Yanagi dibuat bingung oleh konsep kedekatan teman yang dimiliki oleh Kujo.
Reuni, pesta ulang tahun, kamp musim panas... libur musim panas yang menyenangkan membangkitkan perasaan yang terpendam dalam diri Yanagi dan Souma. Lalu, terjadilah serentetan peristiwa yang mendebarkan!!",,2736_image.jpg,,,,,
2735,1,9/16/2015 0:00,"Night is Short, Walk On Girl 01",http://www.gramedia.com,,,RANMARU KOTONE / TOMIHIKO MORIMI,9.79E+12,20000,4,R,Jepang,"11,4 x 16,8",184,"drama,romance,mystery,slice of life","Seorang Senpai sedang kehilangan semangat dalam menempuh hidupnya, hingga dia sering bersikap sinis pada orang. Sampai akhirnya dia bertemu dengan seorang gadis yang baru saja bergabung di klubnya.
Senpai berusaha menarik perhatian si gadis, tapi dia harus berjuang keras, karena ternyata si gadis sangat aktif dan sering terlibat dalam kegiatan aneh bersama orang-orang unik di Kyoto.",,2735_image.jpg,,,,,
2734,1,9/16/2015 0:00,Kanon Secret Super Idol 02,http://www.gramedia.com,,,YUU YABUUCHI,9.79E+12,20000,4,R,Jepang,"11,2 x 17,6",184,"drama,shoujo,music,idol","Hubungan rahasia Kokone dan Soushi dimulai dari sebuah ruang “karaoke”. Video musik yang mereka upload ternyata mengundang tanggapan Remi! Setelah menyaksikan konser Remi, mereka didekati oleh produser Remi dan ditawari kesempatan memulai debut! Tapi Soushi galau karena merasa tak bisa menyanyikan lagu yang bisa menggerakkan hati para pendengar... 
",,2734_image.jpg,,,,,
2733,1,9/16/2015 0:00,Love Cotton 03,http://www.gramedia.com,,,CHAN KASHINOKI,9.79E+12,20000,4,R,Jepang,"11,2 x 17,6",184,"drama,slice of life,shoujo","Toko Love Cotton mulai berkembang, namun Naru, Rin, Mirai, dan Tadashi harus bekerja super keras! Apalagi ketika sebuah majalah memuat artikel tentang Love Cotton.  Banyak pembeli dari jauh berdatangan dan Love Cotton tak mampu menyediakan banyak baju di toko.  Ditambah lagi dengan kedatangan seorang pemuda, Hanamizuki, yang menawarkan untuk bekerjasama dan menjual barang-barang Love Cotton di tokonya di Osaka. 

Saat keuangan Love Cotton mulai membaik, Naru pun berjanji untuk memberi gaji ketiga temannya itu. Namun, uang itu ternyata dipakai oleh orangtua Naru! 
Bagaimana nasib Love Cotton selanjutnya?
",,2733_image.jpg,,,,,
2732,1,9/16/2015 0:00,Strobe Edge 04,http://www.gramedia.com,,,IO SAKISAKA,9.79E+12,20000,5,R,Jepang,"11,2 x 17,6",192,"drama,romance,shoujo,school life","Andou menyatakan cintanya ke Ninako. Dia menanyakan soal “batasan” pada Ninako yang masih menyukai Ren. Menurut Ninako, hal seperti itu tidak ada. Tapi...
Sementara itu, Manabu menyadari ada yang berbeda dengan Ren saat sedang bersama Ninako. Ren menunjukkan senyumannya yang alami. Padahal Ren itu tipe cowok yang tidak mudah goyah oleh gadis lain. ",,2732_image.jpg,,,,,
2731,1,9/16/2015 0:00,Your Lie in April 02,http://www.gramedia.com,,,NAOSHI ARAKAWA,9.79E+12,25000,5,R,Jepang,"11,2 x 17,6",200,"drama,romance,shoujo,music","Kousei Arima akhirnya bermain piano kembali. 
Ia berduet dengan Kaori Miyazono memainkan lagu Introduction et Rondo Capriccioso karya Saint-Saens. 
Namun, di tengah pertunjukan, Arima tidak bisa mendengar suara permainan pianonya! 
Iringan pianonya malah mengacaukan penampilan Kaori. Lalu, bagaimana jadinya pertunjukan mereka?

",,2731_image.jpg,,,,,
