id,published_date,title,isbn,price
167,30/03/11 00:00,My Sweet Kaicho #10,0,16500
168,30/03/11 00:00,Together in Love #2,0,16500
169,30/03/11 00:00,My Kingdom 01,0,16500
170,30/03/11 00:00,Ultramix Collection #1,0,16500
173,30/03/11 00:00,Rival Next Door #2,0,16500
174,30/03/11 00:00,Love in the Sky #2,0,16500
183,24/04/11 22:36,Monika #139,0,16500
184,30/03/11 00:00,Koloni Jagoan: THE DREAMCATCHERS,0,16500
185,30/03/11 00:00,Koloni Jagoan: 1000 GIGA VOLTS,1.23E+19,16500
219,25/05/11 00:00,Neon Genesis Evangelion Ironmaiden 2nd #5,9.78602E+12,16500
220,25/05/11 00:00,Shanaou Yoshitsune Genpei War #12,9.78602E+12,16500
191,04/05/11 00:00,Aoizaka Baseball Club #19,,16500
192,04/05/11 00:00,Magical X Miracle #5,,16500
193,04/05/11 00:00,Give Me All Your Love #1,,16500
194,04/05/11 00:00,Give Me All Your Love #2 (END),,16500
198,11/05/11 00:00,Meet the Banchou #5,,16500
199,11/05/11 00:00,Out Code #2,9.78602E+12,16500
200,11/05/11 00:00,Prince X Princess # 2,9.78602E+12,16500
201,11/05/11 00:00,Pudding in Love #1,9.78602E+12,16500
205,18/05/11 00:00,Millennium Snow #1,9.78602E+12,16500
206,18/05/11 00:00,Millennium Snow #2,9.78602E+12,16500
207,18/05/11 00:00,Together in Love #3,9.78602E+12,16500
208,18/05/11 00:00,My Life #2,9.78602E+12,16500
209,18/05/11 00:00,Lieru&#039;s Love Power #1,9.78602E+12,16500
210,18/05/11 00:00,Lieru&#039;s Love Power #2,9.78602E+12,16500
211,18/05/11 00:00,Ibu,9.78602E+12,16500
212,18/05/11 00:00,I Love Food and Karen-Chan,9.78602E+12,16500
213,18/05/11 00:00,Flying Ice Angel,9.78602E+12,16500
214,18/05/11 00:00,"Color of Sky, Color of Love",9.78602E+12,16500
234,07/07/10 13:30,Dawn Aria  Volume.3,9.78979E+12,16500
222,25/05/11 00:00,To Love a Cool Boy,9.78602E+12,16500
223,25/05/11 00:00,My Boyfriend in 16,9.78602E+12,16500
224,25/05/11 00:00,Beauty Pop #10,9.78602E+12,16500
225,25/05/11 00:00,Moriko in The Wonder Forest,9.78602E+12,16500
226,25/05/11 00:00,Love Trick,9.78602E+12,16500
227,25/05/11 00:00,Catwalk Romance,9.78602E+12,16500
228,25/05/11 00:00,Jun X Sensation #5,9.78602E+12,16500
232,25/05/11 00:00,Himegirl Attack,9.78602E+12,16500
235,07/07/10 16:59,ELECTRIC DAISY  Volume.5,9.78979E+12,16500
240,07/07/10 13:12,Gorgeous Twins,9.78979E+12,16500
241,07/07/10 13:40,Love Letter,9.78979E+12,16500
242,07/07/10 13:58,MEET THE BANCHOU Vol. 3,9.78979E+12,16500
243,07/07/10 14:36,RASETSUÃƒÂ¢Ã¢â€_Â¬Ã¢â€_Â¢S FLOWER  Volume.6,9.78979E+12,16500
244,07/07/10 15:05,"SayakaÃƒÂ¢Ã¢â€_Â¬Ã¢â€_Â¢s Special Attack, Big Victory!",9.78979E+12,16500
247,14/07/10 21:58,GO! HIROMI GO!  Volume.01,9.78979E+12,16500
249,21/07/10 23:48,THE PRINCESS BOUQUET Volume.3,9.78979E+12,16500
250,21/07/10 00:09,Sakura Wars #9,9.78979E+12,16500
253,28/07/10 23:36,Happy Cafe #15,9.78979E+12,16500
255,28/07/10 00:31,INNOCENT DRAGON #6,7.98979E+12,16500
260,04/08/10 15:08,BLEACH #31,9.78979E+12,16500
262,04/07/10 15:54,Sejejak Harap,9.78979E+12,16500
263,04/08/10 22:43,THE STRAWBERRY MARSHMALLOW 6,9.78979E+12,16500
265,04/08/10 12:05,Triple Honey,9.78979E+12,16500
